transaction_id,account_ref,merchant_name,mcc_category,amount,transaction_date,transaction_time,channel,status
txn9014625,ACC-100445,Home Depot,Retail,2380.03,2025-12-22,16:59:03,Online,Approved
TXN9006390,ACC100134,Starbucks,Transfer,1840.18,"Feb 02, 2026",00:17:09,POS,Approved
TXN9000859,ACC100391,WALMART,Entertainment,1654.55,12/29/2024,18:34:05,Mobile,Pending
TXN9015139,ACC-100657,Costco,Utilities,-,20250801,unknown,Online,Approved
TXN9008081,ACC100045,Delta Airlines,Cash,"$1,614.09",02/19/2025,18:57:39,POS,Approved
TXN9013480,ACC100908,Shell Gas,Dining,296.77,20250722,04:05:06,ATM,Approved
TXN9004088,ACC-101287,Netflix,Fuel,UNKNOWN,20260101,14:40:45,POS,Approved
TXN9003957,ACC-101295,CVS Pharmacy,Entertainment,1339.63,21/12/2024,05:57:08,Mobile,Approved
TXN9004562,ACC100730,Shell Gas,Fuel,1094.56,2026-01-27,20:07:39,ATM,PENDING
TXN9011326,ACC-100723,Delta Airlines,Retail,n/a,08/27/2025,22:10:02,ATM,Approved
TXN9007829,ACC-100514,Whole Foods,Fuel,1193.52,2024-10-10,N/A,ATM,Approved
TXN9007023,ACC100352,ATM Withdrawal,Entertainment,1333.02,27/07/2026,07:50:00,Online,Approved
txn9013144,ACC-101265,Whole Foods,Groceries,689.67,10/26/2024,03:59:07,ATM,Approved
TXN9006821,ACC-100984,Amazon,Travel,702.92,05/07/2025,05:31:57,Online,Approved
TXN9011952,ACC100679,Delta Airlines,Travel,1098.37,2025-06-19,null,ATM,Approved
TXN9005469,ACC-101237,Apple Store,Fuel,1299.36,"Dec 11, 2025",02:01:17,ATM,Approved
TXN9013015,ACC-100869,ATM Withdrawal,Groceries,2129.82,01/03/2025,09:25:45,POS,Approved
TXN9015335,ACC-100576,home depot,Transfer,284.48,09-06-2026,05:55:38,Online,Approved
TXN9009833,ACC-101093,Wire Transfer,Retail,649.77,"Oct 21, 2024",05:28:16,POS,Approved
TXN9011647,ACC-101270,Uber,Retail,1264.88,20250927,15:56:37,ATM,Approved
TXN9013569,ACC-100572,Shell Gas,Cash,280.03,20250911,11:27:23,POS,Approved
TXN9015401,ACC101270,CVS Pharmacy,Transfer,1467.56,20241107,07:44:35,POS,Approved
TXN9005332,ACC-997370,   Shell Gas   ,Transfer,284.27,"Sep 15, 2024",08:59:45,oNLINE,Approved
TXN9000657,ACC100831,Starbucks,Groceries,2151.43,02/02/2025,19:41:59,Mobile,Approved
TXN9009999,acc100364,Payroll Deposit,Travel,415.28,06-07-2026,22:21:34,POS,Approved
TXN9012103,ACC-100150,Best Buy,Groceries,7.36,11/12/2024,14:10:11,POS,Approved
TXN9008344,ACC-100720,Uber,-,45.89,28-09-2025,12:38:36,ATM,Approved
TXN9007274,ACC100821,Apple Store,Groceries,2254.65,"Jan 17, 2026",08:01:11,POS,Approved
TXN9011496,ACC-100769,Whole Foods,n/a,849.19,11/09/2024,00:05:45,ATM,Approved
TXN9003317,   ACC100687   ,Home Depot,Groceries,,2025-12-07,-,ATM,   Pending   
TXN9002920,ACC-100066,Uber,Cash,211.66,2024-10-18,20:28:12,Online,Approved
TXN9003733,ACC-100423,Delta Airlines,Entertainment,958.72,03-03-2026,00:27:29,POS,Approved
TXN9004988,ACC-100995,Shell Gas,RETAIL,1712.74,"Sep 27, 2025",06:55:41,POS,Approved
TXN9007046,ACC-101084,Uber,Fuel,1387.78,12-02-2025,01:21:21,Mobile,Approved
TXN9013048,ACC101048,Apple Store,Cash,1572.44,20260128,04:54:17,Online,Declined
TXN9015538,ACC100429,Amazon,Transfer,194.71,23/05/2025,17:29:39,POS,Approved
TXN9010503,ACC101299,Home Depot,Utilities,1357.14,20260802,20:43:53,POS,Approved
TXN9007153,ACC101155,Apple Store,Cash,1874.78,20240831,00:04:20,ATM,Approved
TXN9000548,ACC100048,CVS Pharmacy,Groceries,2081.11,11/08/2025,01:39:51,ATM,Approved
TXN9007375,ACC-101229,Costco,Travel,1548.05,"Aug 17, 2025",19:36:17,POS,Reversed
TXN9012509,ACC-100838,Walmart,  Dining   ,2176.64,13/11/2025,null,ATM,Approved
TXN9011581,ACC-100329,Payroll Deposit,Groceries,1598.53,24-07-2026,12:49:08,Mobile,Approved
TXN9009648,ACC-100485,Home Depot,Groceries,1579.14,"Jul 11, 2025",01:53:33,Mobile,Approved
TXN9013367,ACC101284,Payroll Deposit,Utilities,1873.69,08/02/2026,02:45:26,Mobile,Approved
TXN9012116,ACC-100707,Walmart,Cash,341.08,2026-05-11,11:56:22,Mobile,Approved
TXN9004172,ACC-100322,Whole Foods,Groceries,1524.11,03/23/2026,14:34:43,POS,Approved
TXN9009622,ACC100729,Shell Gas,Transfer,736.34,20241227,10:51:56,Online,Approved
TXN9015117,acc-101118,   Uber   ,Utilities,,20241013,21:57:39,ATM,Approved
TXN9000304,ACC-101265,Shell Gas,Transfer,2332.29,20241123,10:00:54,Online,Approved
TXN9003932,ACC100700,Wire Transfer,Transfer,1795.47,20240812,-,ATM,Approved
TXN9011205,ACC101098,Amazon,Travel,508.01,20241104,null,Mobile,Approved
TXN9000145,ACC-100717,Home Depot,Transfer,245.57,"Sep 18, 2024",07:09:57,Mobile,Approved
TXN9001982,ACC101105,   Netflix   ,Transfer,1216.88,20260208,22:28:36,ATM,Approved
TXN9001361,ACC-100974,Target,Transfer,1894.28,16-05-2025,01:31:45,ATM,Approved
TXN9013201,ACC-100625,Target,GROCERIES,2097.79,-,09:35:21,Online,Approved
TXN9011482,acc-100911,Whole Foods,Travel,1467.95,01-10-2024,16:30:38,ATM,Approved
TXN9006246,ACC-101085,Whole Foods,Utilities,331.56,2025-04-11,07:37:56,POS,Approved
TXN9010741,ACC101263,Target,Travel,1010.08,17/02/2026,UNKNOWN,POS,aPPROVED
TXN9015312,ACC-100290,home depot,Dining,2442.1,20241216,15:37:37,POS,Approved
TXN9006897,acc100364,Netflix,Dining,109.64,07-05-2026,22:21:46,POS,Approved
TXN9015217,ACC-100636,Starbucks,Travel,598.27,"May 08, 2026",02:01:38,POS,Approved
TXN9007502,ACC-101215,Delta Airlines,Retail,2391.71,04/05/2026,22:56:33,mobile,Approved
TXN9005249,ACC-100284,ATM Withdrawal,Utilities,2127.97,"Jul 13, 2026",07:51:16,POS,   Approved   
TXN9007789,ACC-100611,Starbucks,Utilities,376.8,29-07-2025,20:44:22,Mobile,Pending
TXN9013698,ACC101177,Delta Airlines,Travel,238.28,20260117,13:45:35,ATM,Approved
txn9001105,ACC-100674,Uber,Utilities,789.67,2025-08-10,06:47:44,POS,Approved
TXN9002730,ACC-100748,Home Depot,Utilities,-828.33,04/04/2025,16:34:10,Mobile,Approved
TXN9005882,ACC100118,Apple Store,Entertainment,2335.32,27-04-2026,04:28:34,Mobile,Approved
TXN9005734,acc-100436,Delta Airlines,Fuel,829.57,2025-12-18,18:54:56,Online,Approved
TXN9000361,ACC-100988,ATM Withdrawal,Travel,231.76,19-04-2025,N/A,POS,Approved
TXN9002591,ACC100920,Netflix,Cash,1655.06,02/10/2025,06:54:59,Mobile,Approved
TXN9008084,ACC-100375,ATM Withdrawal,Utilities,975.62,"Nov 12, 2025",04:43:33,ATM,Approved
TXN9009226,ACC100584,Payroll Deposit,Retail,1802.08,06/17/2025,07:51:37,POS,Approved
TXN9007228,ACC-101288,Shell Gas,Cash,299.62,2024-09-10,02:38:41,Mobile,Approved
TXN9009366,ACC-100311,Netflix,Utilities,1621.72,20250407,02:12:48,Online,Approved
TXN9008030,ACC-100140,Shell Gas,Utilities,928.12,2026-03-15,17:40:28,ATM,Approved
TXN9010459,ACC-101074,wALMART,Dining,647.55,06/06/2025,19:52:21,Mobile,Approved
TXN9014236,ACC-100149,Target,Entertainment,2346.44,2026-03-13,08:07:41,Online,Approved
TXN9005593,ACC-100509,Whole Foods,Fuel,1607.77,20251215,19:45:06,POS,Approved
TXN9001593,ACC-100245,Apple Store,Utilities,1378.29,2025-04-01,21:27:20,Mobile,Declined
TXN9004483,ACC-100336,Payroll Deposit,Groceries,1736.11,20250311,-,ATM,Declined
TXN9014275,ACC-100531,CVS Pharmacy,Cash,2273.72,"Jun 27, 2026",16:49:18,Mobile,Approved
TXN9007198,ACC-100617,Wire Transfer,Travel,458.29,"Dec 25, 2024",20:24:53,POS,Approved
TXN9009688,acc100395,Apple Store,Fuel,40.09,15-04-2026,18:19:30,Mobile,Approved
TXN9011696,ACC100403,Walmart,Cash,-2253.79,22-04-2025,18:36:54,ATM,Approved
TXN9011877,ACC100453,Shell Gas,Retail,856.55,08/17/2024,04:10:00,POS,Approved
TXN9014322,ACC-100672,Wire Transfer,Groceries,231.98,2024-09-18,18:14:37,POS,Pending
TXN9008678,ACC-100261,Netflix,Travel,1156.71,"Apr 07, 2025",09:12:34,ATM,Approved
TXN9011322,ACC-100128,Costco,Transfer,1350.94,2024-09-03,11:24:05,Online,Approved
TXN9011027,ACC-100325,Starbucks,Travel,1807.08,21/12/2025,17:27:06,Online,Approved
TXN9009977,ACC-100758,Payroll Deposit,Retail,1961.24,12/31/2024,19:49:43,ATM,Approved
TXN9002548,ACC-100816,   Shell Gas   ,Cash,175.29,04-11-2024,01:12:46,POS,Declined
txn9010522,ACC-101016,Target,Entertainment,1036.29,20250531,20:12:06,ATM,Approved
TXN9014819,ACC-101072,Uber,Dining,1253.41,10-03-2026,unknown,Mobile,Approved
TXN9008207,ACC101292,Shell Gas,Fuel,2409.15,03/11/2026,09:40:29,Mobile,Approved
TXN9015709,ACC-100596,Payroll Deposit,Cash,521.45,2025-07-04,14:54:26,ATM,Approved
TXN9009760,ACC100742,CVS Pharmacy,Cash,885.27,23/04/2025,21:04:32,UNKNOWN,Approved
TXN9002901,ACC100214,Payroll Deposit,Dining,820.57,15/04/2026,21:21:37,POS,Approved
TXN9005245,ACC100561,   Netflix   ,,962.32,20251216,03:45:14,Online,Approved
TXN9004970,ACC101147,Best Buy,Utilities,1050.09,2024-10-06,06:14:38,ATM,Pending
TXN9008627,ACC-100255,CVS Pharmacy,Dining,216.09,2026-05-11,04:58:01,Online,Approved
TXN9005887,ACC-100448,Amazon,Entertainment,1807.13,20250408,14:09:09,POS,Declined
TXN9005605,ACC-101176,aPPLE sTORE,Cash,"$1,120.08","Jul 17, 2026",11:32:46,POS,Approved
TXN9015777,ACC-100144,Payroll Deposit,Entertainment,1866.18,20250609,14:08:21,Online,Approved
TXN9005253,ACC-100113,Target,Fuel,1313.65,"Dec 18, 2024",UNKNOWN,Mobile,Approved
TXN9010999,acc100611,Shell Gas,Cash,2089.29,05-06-2025,12:53:57,N/A,Approved
TXN9013044,ACC-101244,Costco,Groceries,1663.82,27-03-2025,07:58:50,POS,Pending
TXN9001183,ACC101000,PAYROLL DEPOSIT,Groceries,2490.24,20251201,04:00:42,ATM,Approved
TXN9003758,ACC100853,Walmart,Cash,1159.43,11/04/2025,09:41:41,Mobile,   Approved   
TXN9004299,  ACC100691   ,Starbucks,Travel,56.46,"Aug 06, 2026",21:03:47,POS,Approved
TXN9009712,   ACC100829   ,Costco,Travel,217.66,23-08-2025,10:18:29,N/A,APPROVED
TXN9015280,ACC-101101,Home Depot,Utilities,401.21,04/05/2026,12:53:27,Mobile,Approved
TXN9000140,ACC100878,Costco,Utilities,2454.56,15-10-2024,04:05:46,Online,Approved
TXN9002435,acc-100734,Best Buy,Transfer,1422.3,"Jun 01, 2026",06:27:55,Mobile,Approved
TXN9004170,acc-101161,Whole Foods,Entertainment,2424.51,2026-01-23,-,ATM,Approved
TXN9008382,ACC-100043,Delta Airlines,Retail,1910.8,"Aug 02, 2025",00:01:02,pos,Approved
TXN9009370,ACC-100370,   Whole Foods   ,Travel,1340.21,20260624,12:04:10,Mobile,  Approved   
TXN9000190,ACC-100957,Wire Transfer,Transfer,2176.72,04/13/2025,21:15:21,Online,Approved
TXN9013885,ACC-100345,CVS Pharmacy,Fuel,691.95,23/11/2025,23:36:36,POS,Approved
TXN9001096,ACC-100861,Target,Cash,1319.35,2025-10-28,08:17:57,Mobile,Declined
TXN9013676,ACC101082,Costco,Groceries,2286.15,20260421,10:30:17,mobile,Approved
TXN9002890,ACC-100155,Home Depot,Travel,1584.11,02/13/2025,20:02:00,ATM,Approved
TXN9003418,ACC-101071,Walmart,Fuel,301.1,2025-12-01,11:05:00,   Online   ,Approved
TXN9001467,ACC100403,Uber,Cash,1251.13,20250913,N/A,Online,Declined
TXN9013722,ACC100021,Wire Transfer,Cash,2000.96,04/04/2025,20:31:26,POS,Approved
TXN9004601,ACC100442,Delta Airlines,Fuel,787.97,"Aug 29, 2024",05:25:45,POS,   Approved   
TXN9003460,ACC-100047,Costco,Groceries,1758.35,05/20/2026,02:37:36,Mobile,Approved
TXN9014699,ACC100027,Payroll Deposit,Retail,741.59,08/27/2024,15:11:44,POS,Declined
TXN9008665,ACC101240,Amazon,Retail,1736.07,2024-08-28,07:58:08,ATM,Approved
TXN9000169,ACC100444,Target,CASH,2263.42,20260511,18:47:10,ATM,Approved
TXN9009923,ACC-100885,Delta Airlines,Cash,956.02,04/10/2025,12:07:57,Online,aPPROVED
TXN9005427,ACC101044,Whole Foods,Cash,1614.15,20260105,00:58:56,Online,Approved
TXN9013580,ACC100256,Delta Airlines,Groceries,975.65,04/07/2025,20:52:34,Online,Pending
TXN9003059,ACC-100461,Delta Airlines,Entertainment,199.87,2026-05-30,16:20:09,POS,Declined
txn9000173,acc-100277,Target,Groceries,2456.58,01/06/2026,03:15:30,ATM,Approved
txn9009173,ACC100534,Whole Foods,Cash,1133.19,"Apr 22, 2025",08:07:31,ATM,Pending
TXN9012063,acc100995,   apple store   ,Entertainment,377.26,"Feb 25, 2026",unknown,pos,Approved
TXN9014015,ACC-100961,Apple Store,Retail,1462.8,20250227,21:13:29,POS,Approved
TXN9014257,ACC911152,Home Depot,Fuel,934.95,26-02-2026,13:50:14,ATM,Approved
TXN9002617,ACC-100341,Home Depot,Dining,411.49,2024-08-12,18:44:44,ATM,Approved
TXN9009158,ACC100346,ATM Withdrawal,Cash,34.22,"Jul 28, 2026",01:42:33,ONLINE,Approved
TXN9003091,  ACC-101148   ,Netflix,Groceries,249.35,"May 29, 2026",02:16:49,POS,   Approved   
TXN9009420,ACC-100326,Apple Store,Cash,1731.49,"Nov 23, 2025",23:13:02,ATM,Reversed
TXN9013034,ACC-100522,Walmart,Retail,304.45,20241203,09:13:49,ATM,Approved
TXN9006236,ACC-101010,ATM Withdrawal,Travel,1055.83,N/A,10:45:29,POS,Approved
TXN9007187,ACC101207,Starbucks,Entertainment,821.77,2025-05-02,19:20:25,POS,Approved
TXN9004093,ACC-100649,CVS Pharmacy,Retail,521.08,08/06/2026,11:16:35,Online,Approved
TXN9000457,ACC100368,Target,Groceries,2293.1,07/08/2026,00:20:03,POS,Reversed
TXN9003472,ACC100259,Costco,Entertainment,477.92,20250401,07:59:26,Online,Approved
TXN9009241,ACC-100676,Apple Store,Travel,2015.71,20250722,06:01:36,Mobile,Approved
TXN9002067,ACC-101045,Delta Airlines,-,NULL,09/21/2024,05:38:16,ATM,Approved
TXN9015014,ACC-947583,Uber,Fuel,2127.19,20250506,22:43:31,POS,Approved
TXN9010948,ACC100414,Uber,Entertainment,252.84,10/16/2024,00:48:36,Mobile,Approved
TXN9013768,ACC100857,Amazon,Travel,625.07,19/07/2025,21:42:21,  online   ,  Approved   
TXN9003900,ACC-100920,Amazon,Transfer,1459.97,05-09-2025,06:22:19,ATM,Approved
TXN9012302,ACC-101020,Best Buy,Travel,$284.14,2025-02-18,10:07:25,Online,Approved
TXN9011812,ACC-100641,Whole Foods,Retail,N/A,20260220,06:37:56,oNLINE,aPPROVED
TXN9006742,ACC-100450,CVS Pharmacy,Utilities,107.16,03/16/2026,04:43:57,ATM,Approved
TXN9005395,ACC-101178,Target,Travel,1369.55,2025-02-24,10:11:01,ATM,Approved
TXN9012567,ACC-101169,Payroll Deposit,Groceries,1624.86,07/08/2025,04:08:32,Online,Approved
TXN9005115,ACC-100099,Shell Gas,Groceries,2429.68,2025-01-16,08:20:42,POS,Approved
TXN9000532,ACC100255,Whole Foods,Groceries,1324.24,20241105,05:08:25,POS,Approved
TXN9001666,ACC-100197,Walmart,Travel,916.28,"Jul 16, 2025",01:54:17,ATM,Approved
TXN9005010,ACC-100840,Walmart,Travel,1552.59,2024-08-23,-,Online,APPROVED
TXN9000492,ACC-101017,Delta Airlines,  cASH   ,2198.4,05/09/2025,01:20:16,Online,Approved
TXN9005097,ACC-100125,Amazon,Groceries,2116.33,2025-10-23,null,ATM,Approved
TXN9006724,acc-101264,Walmart,Groceries,1817.75,"Jan 03, 2026",10:42:41,ATM,Declined
TXN9014907,ACC101260,ATM Withdrawal,Fuel,433.45,20250212,19:50:14,ATM,Approved
TXN9009598,ACC988150,   Best Buy   ,Fuel,467.43,"Jun 08, 2025",07:58:59,Online,Declined
TXN9001460,ACC100699,Wire Transfer,Transfer,509.77,20251203,05:13:46,Online,Declined
TXN9010241,ACC-100302,Amazon,Dining,"1,939.54",02/08/2025,06:43:36,Mobile,Declined
TXN9005070,ACC100677,Starbucks,Groceries,2255.93,10/23/2025,06:44:16,Online,Approved
TXN9001354,ACC-100120,Walmart,Fuel,1625.95,10/22/2024,null,ATM,Approved
TXN9014927,ACC-101236,Costco,Transfer,$587.83,20240923,04:27:30,Mobile,Approved
TXN9007657,ACC-100201,Best Buy,Travel,1198.44,"Sep 19, 2024",03:27:09,POS,Approved
TXN9003819,   ACC100919   ,Home Depot,Utilities,2059.32,20260201,02:29:52,ATM,approved
TXN9005282,ACC100076,Apple Store,Retail,1742.58,"Oct 15, 2024",null,Online,Declined
TXN9004613,ACC100924,Walmart,travel,1013.11,04-01-2026,21:56:31,Mobile,Approved
TXN9008272,ACC100943,Apple Store,UNKNOWN,1998.24,"May 10, 2026",13:50:31,ATM,Approved
TXN9011972,ACC-100194,Home Depot,Transfer,128.85,20-06-2025,17:07:01,POS,Approved
TXN9012800,ACC-100798,Amazon,Cash,1907.54,2026-02-25,22:38:03,Online,Approved
TXN9012970,ACC101130,Starbucks,Utilities,1259.28,"Aug 17, 2025",01:12:32,online,Approved
TXN9008145,ACC100313,CVS Pharmacy,Utilities,2243.9,21/10/2025,19:58:19,Mobile,Declined
TXN9010603,ACC-100930,Apple Store,Fuel,1770.83,2025-02-26,05:00:32,Online,Approved
TXN9000273,ACC101099,Best Buy,Dining,645.71,05/11/2024,21:32:27,   POS   ,Approved
TXN9015544,ACC-100912,Netflix,unknown,1213.95,2025-01-31,07:37:02,Mobile,Approved
TXN9009899,ACC100513,Target,Entertainment,700.64,2026-01-22,15:10:46,Mobile,Declined
TXN9011715,ACC101176,ATM Withdrawal,utilities,313.43,05-07-2026,00:02:22,POS,Approved
TXN9012142,ACC-100169,Costco,Entertainment,680.61,"Feb 22, 2025",13:12:58,POS,Reversed
TXN9007886,ACC100027,Amazon,Entertainment,970.42,2026-03-04,12:47:26,Mobile,Reversed
TXN9004755,ACC-100652,Amazon,Entertainment,2263.67,"Nov 01, 2025",,Online,Approved
TXN9003786,ACC-100565,Payroll Deposit,Fuel,1307.86,"Dec 15, 2024",00:44:51,Online,  Approved   
TXN9003120,ACC-101029,Shell Gas,Fuel,"1,465.15",24-05-2025,n/a,Online,Approved
TXN9005697,ACC100448,Home Depot,Groceries,1029.9 usd,31/08/2024,10:53:03,Online,Approved
TXN9002657,ACC-100102,CVS Pharmacy,Cash,1875.12,2026-02-22,17:06:29,POS,Approved
TXN9015394,ACC100373,Whole Foods,N/A,1429.42,26-02-2026,07:34:46,Mobile,Approved
TXN9007946,ACC-100543,apple store,Dining,1465.18,2026-03-29,17:13:37,ATM,Approved
TXN9003877,ACC101091,Whole Foods,Transfer,2327.47 usd,04/08/2025,05:25:39,ATM,Approved
TXN9013344,acc100771,Walmart,Travel,1931.12,11/12/2025,14:11:16,POS,Approved
TXN9007328,ACC-100504,wire transfer,Groceries,926.92,07/14/2025,16:56:08,ATM,Approved
TXN9005052,ACC100565,Shell Gas,   Retail   ,1873.16,20260513,14:07:40,POS,Approved
TXN9011956,ACC101083,Apple Store,Travel,2003.89,2025-09-13,03:18:46,ATM,Approved
TXN9005274,ACC100837,Starbucks,Retail,1623.96,"Dec 22, 2025",16:20:12,POS,Approved
TXN9015341,ACC101101,Apple Store,Transfer,461.06,05/29/2026,15:04:51,Online,Approved
TXN9005348,ACC-100958,Uber,Cash,"$2,401.51",20250525,11:09:46,POS,Approved
TXN9001177,ACC-100132,Payroll Deposit,CASH,486.05,20260413,02:32:25,POS,Approved
TXN9009893,acc-997326,Starbucks,Dining,1099.5,26/01/2025,05:09:41,Online,Approved
TXN9002648,ACC101108,Starbucks,Fuel,203.12,31/12/2025,NULL,ATM,Approved
TXN9009666,acc-100271,Costco,Travel,,09/20/2024,11:20:44,ATM,Approved
TXN9002953,acc100543,Netflix,Entertainment,1997.03,20260605,00:57:46,POS,Approved
TXN9004575,ACC100531,nETFLIX,Dining,1904.95,04-05-2025,08:03:16,ATM,Approved
TXN9004403,ACC101194,Amazon,Cash,171.75,19/08/2024,16:19:24,Mobile,Approved
TXN9008682,ACC-100365,APPLE STORE,NULL,1243.26,2025-04-06,21:16:04,POS,Approved
TXN9007084,ACC100106,Home Depot,Retail,278.76,01-09-2025,08:57:43,Online,Approved
TXN9004740,ACC-100161,Netflix,N/A,813.04,20260512,13:57:33,   ATM   ,Declined
TXN9013546,ACC-100526,ATM WITHDRAWAL,Groceries,430.29,23/01/2025,07:58:43,POS,  Approved   
TXN9007527,ACC-100544,Wire Transfer,Cash,1336.93,2024-12-09,17:41:05,Mobile,Approved
TXN9015593,ACC-100570,Best Buy,Travel,$962.73,2026-05-20,06:12:43,ATM,Declined
TXN9002950,ACC100982,ATM Withdrawal,Fuel,2359.82,03/23/2026,06:46:12,POS,Approved
TXN9002005,ACC-100980,Home Depot,Retail,384.52,20260427,00:26:49,ATM,Approved
TXN9006881,ACC100427,Netflix,Dining,698.05,"Feb 04, 2025",01:05:23,POS,Approved
TXN9010478,ACC100690,Home Depot,   Fuel   ,1602.86,25-06-2025,00:09:27,Online,Approved
TXN9007159,ACC-100295,Payroll Deposit,N/A,1265.05,06/26/2025,00:01:00,Mobile,Approved
TXN9003504,ACC-100269,Apple Store,Retail,543.07,29-08-2025,02:04:21,Mobile,Approved
TXN9005343,acc100885,Costco,NULL,1891.43,2025-01-18,15:09:47,POS,Approved
TXN9011544,ACC100606,ATM Withdrawal,Travel,304.46,20250923,22:26:09,Mobile,Approved
TXN9001286,ACC100527,Starbucks,Groceries,1064.83,20250811,09:43:28,Online,Approved
TXN9005645,ACC100318,Wire Transfer,Fuel,1561.84,11/09/2024,02:42:18,Mobile,Approved
TXN9007384,ACC100600,Payroll Deposit,Entertainment,"$1,028.88",16-05-2025,15:38:35,POS,Approved
TXN9001445,ACC-100540,Target,Fuel,1600.6,01/18/2026,15:17:35,POS,Approved
TXN9011514,ACC-101005,Starbucks,Retail,1981.22,01/27/2026,N/A,  Mobile   ,Approved
TXN9009515,ACC-100827,Costco,Utilities,662.51,"Jul 06, 2025",15:27:07,n/a,Approved
TXN9000878,ACC100866,Starbucks,Travel,740.1,n/a,04:56:30,POS,Reversed
TXN9005688,ACC100537,Apple Store,Travel,594.68,"Jun 29, 2026",06:05:03,Mobile,Approved
TXN9001383,acc-100706,Whole Foods,Transfer,2417.89,20260426,23:18:07,POS,Approved
TXN9000075,ACC-100666,Shell Gas,Transfer,943.59,17/12/2025,07:22:50,ATM,Approved
TXN9014643,ACC-100526,Shell Gas,Dining,2158.53,"Jun 23, 2025",06:58:34,ATM,Approved
TXN9003892,ACC100102,Target,Travel,33.49,23-12-2024,21:12:38,POS,Approved
TXN9003550,ACC-100708,Target,Transfer,1044.75,22-06-2026,03:08:40,POS,Reversed
TXN9010756,ACC-100729,Wire Transfer,Transfer,225.19,"Oct 02, 2025",11:34:09,ATM,aPPROVED
TXN9015571,ACC-100385,Netflix,Utilities,2200.69,04/13/2026,17:29:05,Online,Declined
TXN9006557,ACC-100817,Shell Gas,Transfer,unknown,13-07-2025,15:25:22,Online,Approved
TXN9006005,ACC-100308,Target,Retail,2401.87,02-02-2025,09:35:09,Mobile,Approved
