account_id,customer_id,branch_id,account_type,currency,open_date,close_date,status,balance
ACC-100454,500006,BR101,Savings,USD,2025-01-01,,Active,991.27
ACC-100392,500492,BR112,Money Market,USD,05/09/2021,,Active,31984.86
ACC-100324,500618,BR117,CD,USD,"Sep 25, 2021",,   Frozen   ,80548.12 usd
ACC-100148,500682,BR112,Savings,USD,2020-02-25,,Active,74429.32
ACC-100373,500229,BR102,CD,USD,2024-05-06,,ACTIVE,45144.61
ACC-101237,500121,BR103,Savings,USD,2025-02-15,,Active,35128.07
ACC-100434,500175,BR111,Money Market,USD,2025-05-27,,Dormant,56518.88
ACC-101177,500718,BR111,Savings,usd,07/24/2024,,Active,65322.31
ACC-100572,500461,BR104,Money Market,US$,"Sep 05, 2021",,Active,44588.31
ACC-100381,500749,BR104,Savings,USD,,,Active,54302.64
ACC-100123,500243,BR106,mONEY mARKET,USD,"Aug 07, 2025",,Active,14479.52
ACC-100724,500444,BR107,Checking,USD,2016-08-16,,Active,54295.46
ACC-101097,500091,BR112,Savings,USD,2026-03-20,,Active,50757.94
ACC-100203,500148,BR100,Checking,USD,20231027,,Frozen,NULL
ACC-100459,500024,BR107,Money Market,USD,2019-09-13,,Active,54532.07
ACC-100885,500662,BR112,Money Market,USD,"Aug 01, 2025",,Active,84322.96
ACC-100652,500014,BR116,CD,USD,20190825,,Dormant,82951.46
ACC-100986,500306,BR111,Money Market,USD,2025-05-22,,Active,63863.94
ACC-100893,500454,BR110,Checking,USD,"May 13, 2024",,Active,56672.39
ACC-101272,500466,BR108,Savings,USD,29/08/2016,,Active,37553.09
ACC-100046,500299,BR100,Checking,USD,2016-10-23,,Frozen,46689.07
ACC-101197,500008,BR110,MONEY MARKET,USD,12/22/2024,,Active,43602.74
ACC-101143,500202,BR106,CD,USD,20181123,,Active,46046.58
ACC-100408,500746,BR114,Checking,USD,03/18/2026,,Dormant,51361.29
ACC-100730,500416,BR114,CD,usd,2018-05-01,,Active,82589.46
ACC-100853,500166,BR104,Money Market,USD,23/10/2016,,Active,3417.18
ACC-101162,500349,BR106,CD,USD,20220909,,Active,74671.28
ACC-100362,500255,BR100,Checking,USD,12/08/2023,,Dormant,53567.15
ACC-100665,500323,BR115,CD,USD,2025-11-11,,Active,62924.11
ACC-100388,500653,BR106,  Savings   ,usd,2017-10-08,2021-12-03,Closed,"$7,349.51"
ACC-101262,500686,BR115,Money Market,USD,"Jun 01, 2021",,Active,5518.09
ACC-101236,500590,BR115,CD,USD,2019-09-04,,Active,14295.32
ACC-100989,500471,BR108,   Checking   ,USD,03/03/2021,,Active,76798.92
ACC-100514,500380,BR103,CD,USD,2025-11-03,,Active,26357.04
ACC-100312,500001,BR103,CD,USD,"May 20, 2025",13-07-2025,Closed,54745.23
ACC-100896,500467,BR100,CD,USD,2022-09-13,,Active,n/a
ACC-100334,500194,BR105,Money Market,USD,26-11-2018,,Dormant,53843.6
ACC-100144,500146,BR104,Money Market,USD,2021-01-14,,Active,27913.3
ACC-101013,500551,BR117,Money Market,USD,20191012,,Active,63057.75
ACC-100645,500284,BR105,Money Market,USD,20190405,,   Active   ,47434.92
acc-100932,500301,BR109,Checking,US$,20180625,,Active,51381.89
ACC-100758,500522,BR114,Savings,USD,21-04-2021,2026-07-07,Closed,48417.09
ACC-100894,500665,BR106,Checking,USD,06-11-2016,,Active,39913.8
ACC-101045,500111,BR107,CD,USD,20250409,,ACTIVE,29390.81
ACC-100510,500525,BR100,Savings,USD,20200906,,Active,16922.5
ACC-101243,500020,BR103,Checking,USD,2019-04-07,,Active,45832.69
ACC-100429,500220,BR110,Checking,USD,"Sep 15, 2025",,Active,57475.68
ACC-100435,500009,BR107,Checking,USD,2021-11-28,,Active,75915.69
ACC-100043,500345,BR101,Savings,USD,22-10-2023,,Active,70477.57
ACC-100911,500547,BR114,Checking,usd,20180101,,Active,"$47,870.16"
ACC-101048,500587,BR106,Savings,USD,"Apr 03, 2026","Jun 24, 2026",Closed,56904.93
ACC-101194,500115,BR100,CD,USD,20/01/2024,,Active,
ACC-101198,500338,BR113,Money Market,USD,20240611,,Active,null
ACC-100446,500684,BR103,Checking,USD,10/30/2022,,Active,48883.17
ACC-100055,500057,BR117,Checking,USD,"Oct 11, 2019",,Active,65729.18
ACC-100969,500673,BR109,CD,usd,04/26/2020,,Dormant,39522.7
ACC-100053,500248,BR114,Checking,USD,"Jul 28, 2021",,Active,61598.27
ACC-100473,500254,BR100,Checking,usd,null,,Active,42092.25
ACC-101212,500109,BR102,CD,USD,2025-02-10,,Active,19547.68
ACC-101085,500031,BR112,Checking,USD,07-06-2021,,Dormant,60777.05
ACC-100620,500418,BR100,CD,USD,27/01/2022,,Active,69813.27
ACC-100693,500366,BR107,unknown,USD,07/07/2022,,Active,10152.85
ACC-100089,500577,BR116,Money Market,USD,"Jun 08, 2025",29/04/2026,Closed,76917.03
ACC-101010,500680,BR108,CD,USD,20200706,,Active,3283.1
ACC-100064,500681,BR114,Savings,USD,02/13/2019,,Active,27259.74
ACC-100691,500679,BR114,CD,USD,20240420,20250701,Closed,61549.88
ACC-100611,500615,BR101,Savings,USD,16/11/2018,,Active,84249.82
ACC-100746,500099,BR112,Money Market,USD,"Apr 07, 2026",,Active,83568.47
ACC-100155,500631,BR110,Money Market,USD,NULL,,Active,22294.1
ACC-100705,500601,BR109,Savings,null,15/08/2021,,Active,66132.7
ACC-100486,500465,BR104,CD,USD,2016-10-08,,Frozen,49679.35
ACC-100881,500564,BR113,CD,usd,20190823,21-11-2025,Closed,2366.2
ACC-100657,500461,BR112,cd,usd,13-01-2026,,Active,2974.13 usd
ACC-100536,500161,BR116,Savings,USD,20160924,,Active,26705.94
ACC-100096,500609,BR102,Savings,USD,2018-04-15,12/05/2025,Closed,36997.23
ACC-101115,500235,BR108,Checking,USD,N/A,,Active,68821.15
ACC-100110,500665,BR114,Savings,USD,2023-10-29,19-05-2024,Closed,62228.03
ACC-100249,500239,BR104,Savings,US$,"Oct 02, 2016",,Active,38762.02
ACC-100419,500427,BR102,CD,USD,05/09/2024,,Active,NULL
ACC-100343,500478,BR109,Checking,USD,04/13/2018,,Active,15647.09
ACC-100850,500045,BR117,Checking,USD,2020-11-08,,Active,14810.71
ACC-101214,500368,BR116,CD,USD,19/07/2020,,Active,69706.47
ACC-100936,500584,BR106,,USD,09/14/2019,,Active,26975.94
ACC-101132,500168,BR105,savings,USD,22-07-2022,,Active,10070.84
ACC-100087,500274,BR102,Checking,USD,2019-11-12,,Active,32294.41
ACC-101274,500698,BR112,Savings,USD,10/24/2024,,Active,28651.4
ACC-100630,500159,BR102,unknown,USD,05/26/2017,,Active,70276.62
ACC-101036,500446,BR107,Checking,UNKNOWN,"Oct 10, 2016",,Active,61646.59
ACC-100917,500507,BR106,Money Market,USD,"Dec 11, 2016",,Active,68684.21
ACC-100152,500045,BR111,Checking,USD,2019-09-25,,Active,47714.64
ACC-100928,500000,BR111,Savings,USD,"Aug 03, 2019",,Active,33724.03
ACC-101032,500632,BR103,Checking,USD,20240326,,Dormant,14710.59
ACC-101114,500271,BR117,Savings,USD,"Oct 01, 2019",,Dormant,6924.57
ACC-100052,500075,BR102,n/a,USD,"Aug 21, 2020",27/08/2020,Closed,70071.83
acc-100477,500194,BR103,Savings,USD,20251023,,Frozen,31986.88
ACC-100631,500242,BR106,Checking,USD,05/19/2022,,Active,32023.2
ACC-101192,500713,BR101,Checking,US$,03/30/2019,,Active,2028.72
ACC-101033,500522,BR117,Savings,USD,19/12/2025,,Active,44713.08
ACC-100910,500340,BR113,Money Market,USD,08/23/2021,,Frozen,30675.05
ACC-100636,500054,BR117,CD,USD,"Jun 15, 2018",29/10/2020,Closed,14204.63
ACC-100263,500691,BR116,Money Market,usd,"Apr 11, 2026",,Dormant,393.69
ACC-100788,500582,BR111,Checking,usd,"Apr 16, 2022",,Active,59330.18
ACC-100721,500075,BR115,Checking,USD,24-10-2022,,Active,8301.55
ACC-100570,500341,BR113,Money Market,usd,"Aug 22, 2022",,Active,70351.19
ACC-100447,500555,BR108,Checking,USD,2017-06-20,07/30/2022,Closed,36483.1
ACC-100497,500741,BR114,Checking,USD,20/01/2022,20230703,Closed,31536.64
ACC-100490,500324,BR116,Savings,usd,"Oct 31, 2025",,Active,50024.1
ACC-100639,500263,BR113,CD,USD,20230911,,Active,38309.56
ACC-100913,500462,BR114,money market,USD,2022-05-10,,Active,72821.29
ACC-100803,500177,BR100,Money Market,USD,20190929,,   Active   ,9537.44
ACC-101014,500031,BR114,Savings,usd,04/11/2025,,Active,55075.4
ACC-101078,500021,BR108,Checking,usd,"Dec 03, 2016",,Active,3996.67
ACC-101007,500038,BR108,Checking,USD,06/18/2020,,Active,30062.95
ACC-101049,500495,BR113,CD,USD,12-07-2024,,Active,78652.48
ACC-100109,500604,BR104,Money Market,USD,2017-12-13,,Active,70064.21 usd
ACC-100504,500203,BR100,Money Market,USD,20230406,,Active,81469.09
ACC-100949,500587,BR102,Checking,USD,16-04-2019,,Active,11761.53
ACC-100716,500537,BR115,Checking,USD,10/22/2021,,Active,19923.65
ACC-100488,500562,BR105,Checking,USD,2023-02-11,,Active,36803.0
ACC-100725,500639,BR106,null,USD,20210720,,Active,47668.83
ACC-100668,500007,BR104,Savings,USD,09/06/2018,,Active,56565.14
ACC-100303,500053,BR105,Savings,USD,10/31/2025,,Active,15035.28
ACC-100726,500502,BR116,Savings,US$,20/05/2017,,Active,77192.03
ACC-101190,500640,BR117,Savings,USD,04-05-2022,,Dormant,8466.79
ACC-100635,500296,BR112,Money Market,USD,01/06/2025,,Closed,55026.58
ACC-101006,500606,BR108,Savings,USD,29-11-2018,,Active,23896.73
ACC-100676,500508,BR105,n/a,USD,2020-11-06,,Active,14863.9
ACC-100463,500703,BR106,Checking,USD,30/01/2017,,Active,8174.03
ACC-101258,500144,BR100,Savings,USD,17/05/2021,,Dormant,71750.23
ACC-100685,500063,BR104,Money Market,USD,-,,Active,1785.81
ACC-100360,500316,BR116,Checking,USD,02-12-2017,,active,56414.04
ACC-100137,500706,BR101,Savings,USD,20230313,,Active,34530.4
ACC-100895,500498,BR101,Savings,USD,15-02-2019,,Dormant,17909.13
ACC-100005,500349,BR110,Savings,USD,2021-01-26,,Active,30864.2
ACC-100823,500639,BR110,Money Market,USD,"May 21, 2020",,Active,63774.09
acc-100791,500480,BR116,Savings,USD,27-09-2024,,active,14196.14
ACC-100239,500717,BR102,Checking,USD,20221220,,Active,34078.91
ACC-100692,500024,BR107,Checking,USD,10/04/2024,20260125,Closed,5964.66
ACC-100284,500654,BR102,Savings,USD,20181023,09/23/2025,Closed,29410.04
ACC-100593,500700,BR116,Savings,USD,20180905,,Active,63200.47
ACC-100335,500197,BR111,  Money Market   ,USD,"Jul 07, 2025",,Active,44066.84
ACC-100656,500070,BR108,Money Market,USD,08/08/2019,,Active,46644.51
ACC-101172,500512,BR115,,USD,20190911,,Active,10917.72
ACC-100860,500641,BR100,Savings,USD,20260512,,Frozen,76564.88
ACC-101181,500255,BR102,Money Market,USD,"Apr 04, 2023",,Active,61614.19
ACC-100836,500732,BR113,Checking,USD,"Oct 21, 2021",,Active,46383.68
ACC-100281,500531,BR105,   Checking   ,USD,"Jul 12, 2022",,Dormant,45564.9
ACC-100793,500278,BR100,Checking,USD,20251011,,Active,4769.23
ACC-100057,500303,BR103,Money Market,USD,10/28/2018,,Active,27471.42
ACC-100122,500263,BR103,Checking,USD,13/01/2023,,Active,8675.56
ACC-100250,500719,BR109,Checking,USD,20250129,,Active,16659.27
acc-100569,500622,BR106,CD,USD,2024-04-18,,Active,67550.44
ACC-100617,500226,BR105,Money Market,USD,2017-09-09,,Active,45732.42
ACC-100783,500540,BR104,Checking,USD,2025-11-22,,Active,5983.47
ACC-100709,500532,BR111,Savings,usd,20181011,,Active,48939.24
ACC-100503,500391,BR105,CD,USD,17-02-2026,,Active,43112.01
ACC-100612,500252,BR107,Savings,USD,07/08/2021,,Active,26126.96
ACC-101016,500713,BR114,CD,USD,20/10/2022,,Active,75565.15
ACC-100817,500332,BR117,Money Market,USD,06-12-2019,,aCTIVE,44704.98 usd
ACC-100689,500381,BR100,Savings,USD,06-06-2017,,Active,54195.65
ACC-100267,500151,BR114,Checking,USD,06/30/2024,,Active,17765.25
ACC-100598,500357,BR113,Money Market,USD,06-08-2019,,Frozen,NULL
ACC-100890,500029,BR117,Money Market,USD,2022-09-06,,Active,67629.08
ACC-100153,500732,BR100,Savings,USD,2025-05-08,,Active,17281.95
ACC-100830,500652,BR108,Savings,USD,05/02/2018,,Active,7119.26
ACC-101096,500055,BR115,CD,USD,20240329,,Active,35297.86
ACC-100304,500391,BR103,CD,USD,02/02/2026,,Active,77573.47
ACC-101069,500001,BR111,Checking,USD,05/03/2017,,Active,44994.44
ACC-100181,500647,BR109,Checking,USD,23/10/2021,20220608,Closed,83150.38
ACC-101009,500199,BR112,Checking,null,20260423,,Active,62207.19
ACC-100311,500515,BR102,Money Market,usd,05/10/2018,,Active,49568.62
ACC-100323,500264,BR102,Money Market,USD,2016-12-13,,Active,74471.31
ACC-101193,500655,BR101,unknown,USD,2018-12-23,,Active,10628.62 usd
ACC-100090,500645,BR113,Savings,USD,20230804,,Active,73763.17
ACC-100819,500027,BR108,Money Market,USD,20170321,,Active,27184.04
ACC-100325,500184,BR100,Savings,USD,08/01/2021,,Active,42016.92
ACC-100045,500469,BR106,Money Market,USD,29-02-2020,,Dormant,61324.27
ACC-100862,500543,BR106,Money Market,usd,20201108,,Active,65877.27
ACC-101200,500113,BR100,Checking,USD,"Oct 20, 2020",,Active,78130.83
ACC-101287,500744,BR102,CD,USD,31-03-2020,"Jan 23, 2026",Closed,51121.81
ACC-100307,500184,BR102,CD,USD,2017-02-09,2022-10-01,Closed,6071.2
ACC-101284,500020,BR112,Savings,usd,16/09/2016,,Active,49343.97
ACC-100649,500565,BR109,Checking,USD,01-10-2022,,Dormant,7195.34
acc-100443,500117,BR114,Savings,USD,20250807,06/01/2026,Closed,46573.4
ACC-100209,500242,BR102,Savings,USD,20180319,,Dormant,6109.55
ACC-100761,500013,BR116,Checking,USD,2017-03-10,,Active,81032.83
ACC-101020,500438,BR116,CD,usd,20200422,2021-07-03,Closed,64687.55
ACC-100995,500376,BR113,Checking,USD,"Mar 23, 2020",,Active,71411.48
ACC-100333,500448,BR115,Savings,USD,20191219,,Dormant,N/A
   ACC-101137   ,500075,BR100,Money Market,USD,"Oct 10, 2019",,Dormant,28317.24
acc-100966,500548,BR116,Checking,USD,"Jun 28, 2018",,Active,69753.75
ACC-100355,500451,BR111,Money Market,USD,06-11-2023,,Active,65102.69
ACC-100211,500353,BR111,Checking,USD,21/09/2019,,Active,19686.53
ACC-100440,500558,BR110,Money Market,USD,20240718,,Active,50969.01
ACC-100842,500057,BR105,Savings,USD,2021-03-21,17/10/2025,Closed,64584.98
ACC-100253,500180,BR115,Savings,USD,20210902,,Active,44238.48
ACC-100975,500097,BR109,CD,USD,07/13/2018,,Active,72109.25
acc-100703,500668,BR108,Money Market,USD,20240123,,   Active   ,63831.13
ACC-101199,500743,BR108,CD,-,20230706,,Active,47611.49
ACC-101072,500303,BR112,Money Market,USD,2021-09-13,,Active,22585.15
ACC-100712,500715,BR110,Money Market,USD,26/08/2025,,Active,4013.74
ACC-100948,500388,BR113,-,USD,08/02/2022,,Active,34751.37
ACC-101299,500523,BR114,Money Market,USD,"Apr 20, 2020",,active,-
ACC-101163,500084,BR102,CD,USD,2024-11-05,,Active,49886.67
ACC-100210,500241,BR112,Savings,USD,27-03-2024,,Active,36307.3
ACC-100700,500627,BR107,CD,USD,01/15/2022,,Active,50932.43
ACC-100837,500435,BR107,Savings,USD,"Jul 24, 2020",,Active,"17,014.79"
ACC-100697,500052,BR100,Checking,USD,10/04/2019,2020-02-23,Closed,35332.14
ACC-100332,500211,BR115,Savings,USD,"Sep 11, 2020",,Active,64294.14
ACC-100340,500279,BR110,CD,USD,03/26/2020,,Active,NULL
ACC-101148,500573,BR114,Savings,USD,2019-10-11,,Active,77144.47
ACC-100218,500341,BR108,CD,USD,07/28/2025,,Active,56077.76
ACC-100273,500322,BR107,CD,USD,20250523,,Active,16879.15
ACC-100959,500373,BR101,Checking,USD,NULL,,Dormant,6706.78
ACC-101017,500331,BR104,Savings,USD,20260428,,Frozen,64215.8
ACC-100531,500570,BR115,Checking,USD,01/24/2022,,Active,48813.18
ACC-100023,500303,BR108,Checking,USD,04-06-2026,,Active,49695.42
ACC-100879,500430,BR115,Checking,US$,04/03/2018,,Frozen,
   ACC-100585   ,500058,BR107,Savings,USD,20200630,,Dormant,20409.21 usd
ACC-100305,500040,BR106,   Savings   ,USD,04/15/2025,,Active,15520.0
ACC-100225,500516,BR110,CD,USD,2016-09-27,,Active,15805.87
ACC-100208,500500,BR102,CD,USD,20210101,,Active,42443.58
ACC-100414,500454,BR100,CD,USD,02-06-2026,,Closed,67881.76
ACC-100914,500552,BR110,Checking,USD,20241116,,Dormant,70290.9
ACC-100315,500143,BR106,Money Market,US$,2023-08-27,07/03/2025,Closed,61886.05
acc-100378,500470,BR107,-,USD,20170228,,Active,21192.76
ACC-100747,500127,BR108,Savings,US$,"Jul 22, 2020",04-01-2026,Closed,72156.48
ACC-100425,500036,BR110,Money Market,USD,06-01-2026,,Active,83216.28
ACC-100121,500113,BR101,NULL,US$,06/11/2024,,Active,74627.78
ACC-101276,500179,BR114,Checking,USD,"Jul 15, 2023",28/07/2024,Closed,58334.78
ACC-100344,500422,BR116,Checking,USD,"Mar 03, 2024","Aug 24, 2024",Closed,74387.19
ACC-100872,500258,BR111,Money Market,USD,20180714,,Active,18694.55
  ACC-100626   ,500018,BR109,Money Market,USD,18-09-2019,,Active,3666.2
ACC-100680,500564,BR114,CD,USD,"Nov 28, 2018",,Active,43037.62
ACC-101288,500304,BR116,Savings,USD,19/05/2018,,Active,20904.63 usd
ACC-101080,500076,BR111,CD,USD,11/24/2021,,Active,77119.92
ACC-100398,500592,BR101,CD,USD,10/11/2022,,Active,36619.41
ACC-100523,500187,BR112,CD,USD,2018-05-07,,Active,60492.42
ACC-100008,500749,BR105,Checking,USD,"May 24, 2025",,Dormant,57196.21
ACC-100172,500329,BR108,Money Market,USD,20201210,,Frozen,56831.86
ACC-101232,500338,BR115,Savings,USD,"Jan 05, 2017",17-12-2019,Closed,"45,900.26"
ACC-101022,500039,BR110,UNKNOWN,USD,"May 17, 2026",,aCTIVE,16657.91
ACC-100713,500462,BR105,Money Market,USD,2019-01-14,,Active,12058.34
ACC-100079,500435,BR100,Savings,USD,20220704,,Active,74309.05
ACC-100342,500703,BR104,UNKNOWN,USD,2020-11-27,,Active,55220.91
ACC-100197,500333,BR103,CD,USD,"Nov 20, 2020",,Active,25870.5
ACC-100022,500282,BR109,Money Market,USD,23-01-2017,,Active,45455.95
ACC-100832,500042,BR106,Savings,USD,"Apr 02, 2018",,Active,
ACC-101103,500100,BR112,money market,USD,20220730,,Active,74724.28
ACC-100384,500496,BR114,money market,USD,"Aug 27, 2023",08-04-2025,Closed,83716.08
ACC-101043,500050,BR117,Money Market,US$,2023-01-07,,Active,5243.21
ACC-100600,500231,BR116,Money Market,USD,"Mar 07, 2021",,Active,NULL
ACC-100888,500381,BR106,Savings,USD,03-10-2023,,Active,40428.74
ACC-100811,500038,BR116,Money Market,USD,"May 25, 2022",,Active,4486.99
ACC-100511,500619,BR103,Savings,USD,06/26/2024,"May 26, 2025",Closed,31444.91
ACC-100302,500678,BR106,CD,USD,"Aug 07, 2023",,Active,37896.2
ACC-100024,500379,BR115,Money Market,US$,10/19/2019,,Dormant,22149.09
ACC-100571,500444,BR107,Savings,USD,2018-01-19,,Dormant,N/A
ACC-100786,500236,BR111,Money Market,US$,20230725,,Dormant,31475.74
ACC-100807,500048,BR107,Checking,usd,"Nov 21, 2024",,Dormant,10080.71
ACC-100012,500645,BR108,Savings,USD,28-10-2017,03/22/2025,Closed,45023.16
ACC-100457,500589,BR106,Checking,USD,2022-10-13,,Active,N/A
acc-100751,500725,BR113,Money Market,USD,"Nov 27, 2023",,Active,66208.73
ACC-100579,500021,BR100,CD,USD,02/06/2026,,Active,50390.58
ACC-100147,500369,BR101,CD,USD,02/09/2018,,Active,10497.37
ACC-101195,500017,BR101,Money Market,USD,2026-03-09,,Active,58863.03
ACC-101215,500670,BR106,Money Market,USD,08/03/2017,,Active,7729.66
ACC-100500,500218,BR109,cd,usd,26/05/2026,,Active,62058.8
ACC-101135,500021,BR117,CD,US$,09/29/2019,,Active,70478.52
ACC-100393,500143,BR109,Money Market,USD,09-04-2025,,Frozen,52537.89
ACC-100980,500576,BR115,CD,USD,05-11-2020,,Active,40559.92 usd
ACC-100728,500425,BR101,Savings,US$,20170212,,Dormant,unknown
ACC-100383,500514,BR113,Checking,USD,2022-03-11,,Active,67417.48 usd
ACC-100070,500318,BR107,Checking,USD,20251223,,Active,"39,992.58"
ACC-100310,500290,BR117,Checking,USD,20260131,,Active,25606.6
ACC-100248,500003,BR108,Savings,USD,20211030,28-03-2025,Closed,12728.06
acc-100364,500197,BR111,Checking,USD,2018-02-23,,Active,72972.88
ACC-101156,500648,BR107,CD,USD,24/05/2021,,active,73507.14
ACC-100732,500071,BR104,Checking,USD,02/01/2017,,Active,30934.9
ACC-101209,500734,BR108,Savings,USD,2022-07-03,,Active,61211.6
ACC-100169,500310,BR110,Checking,USD,20260610,,Active,37647.66
ACC-100371,500504,BR107,Money Market,USD,"Sep 06, 2023",,aCTIVE,N/A
ACC-100919,500124,BR111,money market,usd,04/03/2018,,Active,58424.33
ACC-100797,500326,BR115,Money Market,usd,25-12-2020,,Active,"$76,957.88"
ACC-101025,500184,BR113,Checking,USD,2025-11-06,,Active,61591.55
ACC-101150,500314,BR104,Checking,USD,2017-08-21,,Active,11072.98
ACC-100051,500020,BR107,N/A,US$,"Mar 19, 2024",2024-10-31,Closed,"69,721.15"
ACC-100222,500138,BR113,Savings,USD,2025-08-23,,Active,32002.54
ACC-100738,500031,BR109,Money Market,USD,"Dec 20, 2021",,Active,35772.23
ACC-101296,500482,BR117,Money Market,USD,08-04-2020,,Active,12115.63
ACC-100084,500266,BR115,CD,USD,06/11/2018,,Active,35775.01
ACC-101160,500030,BR112,mONEY mARKET,USD,2021-11-28,21/01/2025,Closed,16454.27 usd
ACC-101154,500560,BR106,Checking,US$,2022-07-20,,active,59122.11
ACC-100227,500695,BR117,CD,usd,2022-11-18,,   Active   ,70439.83
ACC-101127,500116,BR106,Savings,usd,26-02-2021,,Active,41121.69
ACC-100566,500086,BR106,CD,USD,28/08/2025,,Active,22051.91
ACC-100330,500070,BR107,Checking,USD,08/11/2025,,Active,59684.72
ACC-100140,500363,BR104,CD,US$,"Feb 23, 2019",,Active,"$53,605.49"
ACC-100955,500265,BR102,Checking,USD,"Feb 11, 2024",,Active,n/a
ACC-101283,500744,BR108,CD,USD,"Jul 02, 2022",2025-09-01,CLOSED,9271.47
ACC-100472,500725,BR114,Savings,USD,"Jun 11, 2023",,Active,69335.23
ACC-100507,500273,BR115,CD,USD,null,,Active,61429.28
ACC-100489,500219,BR103,CD,USD,08/11/2021,,Active,31844.32
ACC-100785,500091,BR101,Money Market,USD,20161107,,Active,43086.71
acc-100663,500719,BR115,CD,USD,12/04/2021,,Frozen,42442.27
ACC-100660,500532,BR116,Savings,USD,11-09-2025,,Active,30304.09
ACC-100418,500558,BR115,Savings,USD,28/04/2023,,Closed,42445.74
ACC-100075,500549,BR109,Money Market,USD,"Jul 08, 2020",,Active,360.48
ACC-100476,500427,BR102,Savings,USD,06-03-2017,,Active,78507.45
ACC-100192,500442,BR117,Money Market,USD,09/29/2017,,Dormant,-82.99
ACC-101170,500241,BR111,cHECKING,US$,19-03-2019,,Active,16564.63
ACC-101165,500673,BR102,Money Market,USD,2025-07-02,,Active,61456.96
ACC-101254,500665,BR101,CD,USD,"Jun 26, 2020",,Active,69757.02
ACC-100522,500563,BR117,checking,USD,20251226,,   Active   ,47460.0
ACC-100017,500062,BR105,CD,USD,"Sep 22, 2021",,Active,60797.33
ACC-100707,500714,BR116,   Money Market   ,usd,12/06/2016,,Active,29648.5
ACC-100978,500102,BR108,CD,usd,"Nov 28, 2025",20260421,Closed,73140.44
